X,Y,Z,C2M_distances,C2M_min_max
-35.44273376,-16.48132324,19.83076096,9.096393,
-36.43129349,-16.48350525,20.02307892,9.987076,
-37.42193985,-16.48591232,20.20503235,10.897866,
-38.41689301,-16.48975182,20.37565231,11.822593,
-39.41602707,-16.49320602,20.53178024,12.752117,
-40.42144775,-16.49686813,20.67005157,13.687723,
-41.44153976,-16.500597,20.78017998,14.635991,
41.44411469,-17.49987411,20.78205299,15.020341,
40.4268074,-17.4958477,20.6794014,14.074965,
39.42028809,-17.49097824,20.55139923,13.139441,
38.42058182,-17.48712158,20.40656281,12.220727,
37.42499161,-17.48335075,20.24944496,11.318447,
36.43115997,-17.4808979,20.08145142,10.421401,
35.4393425,-17.47900772,19.90299034,9.529017,
34.44923782,-17.47927666,19.71469879,8.64316,
33.45978546,-17.4800663,19.51565552,7.766011,
32.47261047,-17.48363495,19.30598068,6.921648,
31.48529816,-17.48860168,19.08422089,6.098394,
30.49988556,-17.4969101,18.84929657,5.301403,
29.5165081,-17.50713539,18.60091782,4.544235,
28.5347538,-17.52038956,18.33896255,3.864099,
27.55122566,-17.53868675,18.0583992,3.295611,
26.57511711,-17.56338501,17.76277924,2.768477,
25.59464836,-17.59113693,17.4466095,2.250591,
24.61572647,-17.62823677,17.10355377,1.778229,
23.64510536,-17.66916275,16.73842239,1.32901,
22.66714668,-17.73197746,16.34121513,0.905588,
21.69512367,-17.80999184,15.90854836,0.53849,
20.72739601,-17.89238739,15.44171619,0.202079,
19.74649048,-17.95716286,14.90876865,-0.105812,
18.74507332,-18.07755089,14.25006294,-0.303324,
17.80238152,-18.23584747,13.59080124,-0.429095,
16.79021645,-18.3260479,12.79778194,-0.540387,
15.77917862,-18.4647522,12.02554417,-0.611649,
14.73800278,-18.55991936,11.13484955,-0.635557,
13.64498806,-18.6392765,10.3202858,-0.703742,
12.48756981,-18.57473755,9.4534359,-0.803481,
11.3596344,-18.45613098,8.60159397,-0.836578,
10.22954941,-18.35937119,7.80077171,-0.806802,
9.19873142,-18.27290726,7.24355888,-0.841277,
8.08361626,-18.19773293,6.72986507,-0.85293,
7.0860672,-18.07310104,6.18643475,-0.795602,
6.07461262,-17.96404457,5.81661606,-0.810593,
4.97127724,-18.02511406,5.54320812,-0.77786,
4.05860519,-17.98479652,5.2759676,-0.727617,
3.00152206,-17.94087219,5.12293911,-0.751677,
1.99274397,-17.88807106,4.96406651,-0.738524,
1.02197611,-17.80166817,4.86842155,-0.762751,
-0.07908199,-17.85161781,4.88926506,-0.767192,
-1.04173362,-17.85594749,4.87919331,-0.740146,
-2.06513715,-17.70289993,4.82731438,-0.737904,
-3.05472636,-17.65752983,4.94260216,-0.772891,
-4.18109798,-17.71485901,5.12241173,-0.747578,
-5.06467676,-17.70225716,5.30589485,-0.765298,
-6.21481133,-17.66863632,5.57521343,-0.775788,
-7.16898584,-17.56885338,5.76763535,-0.762457,
-8.22775459,-17.55148315,6.18457127,-0.815134,
-9.29795742,-17.61397743,6.68266201,-0.81951,
-10.28079796,-17.61281204,7.23017502,-0.871995,
-11.38903713,-17.6625309,7.91169262,-0.880628,
-12.41133595,-17.71737862,8.5711441,-0.854187,
-13.4835062,-17.82585716,9.4439888,-0.815993,
-14.48076344,-17.90218353,10.255023,-0.725056,
-15.47662735,-17.89287758,11.13840771,-0.675493,
